Code,Group,Household name,Relationship,Side,Category,Adults invited,Children invited,Phone,WhatsApp,Email,City,Expected cash gift,Cash gift received,Notes
G030,Family & Relatives,Household 030,,Groom,Relatives,0,0,,,,,5000,,
G031,Family & Relatives,Household 031,,Groom,Relatives,5,0,,,,,10000,,
G032,Family & Relatives,Household 032,,Groom,Relatives,1,0,,,,,10000,,
G033,Family & Relatives,Household 033,,Groom,Relatives,5,0,,,,,25000,,
G034,Family & Relatives,Household 034,,Groom,Relatives,10,0,,,,,50000,,
G035,Family & Relatives,Household 035,,Groom,Relatives,0,0,,,,,15000,,
G036,Family & Relatives,Household 036,,Groom,Relatives,0,0,,,,,5000,,
G037,Family & Relatives,Household 037,,Groom,Relatives,5,0,,,,,10000,,
G038,Family & Relatives,Household 038,,Groom,Relatives,1,0,,,,,5000,,
G039,Family & Relatives,Household 039,,Groom,Relatives,2,0,,,,,5000,,
G040,Family & Relatives,Household 040,,Groom,Relatives,0,0,,,,,15000,,
G041,Friends,Household 041,,Groom,Friends / Work,2,0,,,,,10000,,
G042,Friends,Household 042,,Groom,Friends / Work,1,0,,,,,10000,,
G043,Friends,Household 043,,Groom,Friends / Work,2,0,,,,,10000,,
G044,Friends,Household 044,,Groom,Friends / Work,1,0,,,,,5000,,
G045,Friends,Household 045,,Groom,Friends / Work,1,0,,,,,10000,,
G046,Friends,Household 046,,Groom,Friends / Work,1,0,,,,,10000,,
G047,Friends,Household 047,,Groom,Friends / Work,1,0,,,,,10000,,
G048,Friends,Household 048,,Groom,Friends / Work,1,0,,,,,5000,,
G049,Friends,Household 049,,Groom,Friends / Work,1,0,,,,,5000,,
G050,Friends,Household 050,,Groom,Friends / Work,1,0,,,,,5000,,
G051,Friends,Household 051,,Groom,Friends / Work,1,0,,,,,5000,,
G052,Friends,Household 052,,Groom,Friends / Work,1,0,,,,,5000,,
G053,Friends,Household 053,,Groom,Friends / Work,1,0,,,,,10000,,
G054,Friends,Household 054,,Groom,Friends / Work,1,0,,,,,5000,,
G055,Friends,Household 055,,Groom,Friends / Work,1,0,,,,,5000,,
G056,Friends - SCL,Household 056,,Groom,Friends / Work,2,0,,,,,5000,,
G057,Friends - SCL,Household 057,,Groom,Friends / Work,0,0,,,,,5000,,
G058,Friends - SCL,Household 058,,Groom,Friends / Work,1,0,,,,,5000,,
G059,Friends - SCL,Household 059,,Groom,Friends / Work,1,0,,,,,5000,,
G060,Friends - Ceyentra,Household 060,,Groom,Friends / Work,2,0,,,,,5000,,
G061,Friends - Ceyentra,Household 061,,Groom,Friends / Work,1,0,,,,,5000,,
G062,Friends - Ceyentra,Household 062,,Groom,Friends / Work,1,0,,,,,5000,,
G063,Friends - Ceyentra,Household 063,,Groom,Friends / Work,1,0,,,,,5000,,
G064,Friends - Ceyentra,Household 064,,Groom,Friends / Work,1,0,,,,,5000,,
G065,Friends - Ceyentra,Household 065,,Groom,Friends / Work,1,0,,,,,5000,,
G066,Friends - Ceyentra,Household 066,,Groom,Friends / Work,1,0,,,,,5000,,
G067,Friends - Ceyentra,Household 067,,Groom,Friends / Work,1,0,,,,,5000,,
G068,Friends - Ceyentra,Household 068,,Groom,Friends / Work,1,0,,,,,5000,,
G069,Friends - Ceyentra,Household 069,,Groom,Friends / Work,1,0,,,,,5000,,
G070,Friends - IFS,Household 070,,Groom,Friends / Work,1,0,,,,,5000,,
G071,Friends - IFS,Household 071,,Groom,Friends / Work,1,0,,,,,10000,,
G072,Friends - IFS,Household 072,,Groom,Friends / Work,1,0,,,,,5000,,
G073,Friends - IFS,Household 073,,Groom,Friends / Work,0,0,,,,,5000,,
G074,Friends - IFS,Household 074,,Groom,Friends / Work,1,0,,,,,5000,,
G075,Friends - IFS,Household 075,,Groom,Friends / Work,0,0,,,,,5000,,
G076,Friends - IFS,Household 076,,Groom,Friends / Work,1,0,,,,,5000,,
G077,Friends - IFS,Household 077,,Groom,Friends / Work,1,0,,,,,5000,,
G078,Friends - IFS,Household 078,,Groom,Friends / Work,0,0,,,,,5000,,
G079,Friends - IFS,Household 079,,Groom,Friends / Work,1,0,,,,,5000,,
G080,Friends - IFS,Household 080,,Groom,Friends / Work,1,0,,,,,5000,,
